Name,Rating,Title,Date,Desc
Reviews by Andy,5.0,"5.0 out of 5 stars
Power in a Compact Package - Apple 20W USB-C Power Adapter",25/01/2024,"The Apple 20W USB-C Power Adapter is a true powerhouse in a compact form. Designed for efficiency and fast charging capabilities, this wall charger has seamlessly integrated itself into my daily life, providing a reliable and swift solution for powering my iPhone 15.The fast, efficient charging offered by this adapter is truly impressive. In approximately 30 minutes, it can deliver around 50 percent battery charge for my iPhone 15. This feature is particularly valuable for those times when a quick top-up is needed before heading out or during a busy day. The convenience it adds to my charging routine is unparalleled.The sleek and compact design of the power adapter makes it an ideal companion for various settings – be it at home, in the office, or while on the go. Its portability ensures that I can maintain a charged device wherever I am, without the need for bulky charging solutions.It's important to note that this is a USB-C wall charger, and the charging cable is not included. While this may be an additional purchase for some, it also allows for customization based on individual needs and preferences.The compatibility with the latest iPhone models, such as the iPhone 15, showcases Apple's commitment to staying at the forefront of charging technology. The USB-C connection ensures a universal and forward-looking approach, making this adapter a sound investment for future device compatibility.In conclusion, the Apple 20W USB-C Power Adapter is a stellar addition to Apple's charging accessories lineup. Its fast charging capabilities, portability, and sleek design make it a must-have for iPhone users, especially those with the latest models. I highly recommend this adapter for anyone seeking a reliable, efficient, and compact charging solution."
Shirley,5.0,"5.0 out of 5 stars
USB power adapter",18/02/2024,Power adapter works well and great valueSpeedy delivery
Justin Huber,5.0,"5.0 out of 5 stars
Good quality charger, decent for the money. NO CORD INCLUDED!!!!",05/01/2024,"bought this just for the charger. NO Cords included. solid and built well. have used it for over a year. finding solid cords, that's your issue. I bought some cords through amazon and the first one just died on me, on the second one holding true so far. I have one in reserve, came in a three pack. made in china, of course. need a USB-C connection to the power adapter; a lightening connector for iPhone, or perhaps a usb-c for an iPad or iPhone connection on the other end. so beware, if you have an old USB connection cord that's still holding strong you're going to need to ditch that for a USB-C cord. old USB regular cords won't work with this adapter. Good one. would buy again."
Amazon Customer,5.0,"5.0 out of 5 stars
Good charging block",20/02/2024,Works with our iPad and iPhone.
M. Jennings,5.0,"5.0 out of 5 stars
Sturdy and portable",09/02/2024,This is a fast charger that is convenient to carry with you and it is well made. The only thing I would change is include a charger cord with it.
Christopher Pitts,4.0,"4.0 out of 5 stars
Does what is should.",16/02/2024,There’s not a lot to say about something like this.  It either works or it doesn’t.  I’ve used it for a while now and it works just fine.  I use for my iPad and a couple of other devices that require this kind of connector.
Diana,5.0,"5.0 out of 5 stars
Does the job!",24/02/2024,Great and fast charger.
Marty,1.0,"1.0 out of 5 stars
Damned if they do, damned when they don't",07/10/2023,"I'm using my Apple device cable and this charger seems to work plenty good and fast for my immediate need, but this review is about far more than present appearance.To  complete what I have to say, among other things, I will nimbly touch on what's been understated elsewhere as the Rat’s Nest of USB-C Standards, but only when it comes to charging, not data transfer. Like most reading this, I'm just wanting to get beyond being a novice, the perspective which should be of special importance.Here's what Apple says (and what I initially recently read) about fast charging for some of their devices: one can use [list of relevant Apple adaptors] or a ""comparable third-party USB-C power adapter that supports USB Power Delivery (USB-PD)"".  On its website, Apple boldly claims this exact power adapter is ""Compatible with any USB-C enabled device."" Yet the documentation that comes with it says you ""might"" be able to use it on third-party phones depending on the region, and to ""Check with the manufacturer about compatibility with any third-party phone before charging."" Apple abstains from providing the version of the PD standard the adapter adheres to, further subverting the specious compatibility claim. The USB-C Power Delivery standard is as old as the USB-C standard itself but it has undergone major revisions and not all vendors (or their specific products) claim to adhere to a PD standard, apparently because they don't. Interestingly, one can't (rather shouldn't) use just any USB-PD charger with any Apple USB-C device as device model compatibility is required before a charger can even be ""comparable.""  Third-party chargers implementing PD must test for compatibility with specific Apple devices which obviously goes beyond which version of PD is implemented on the Apple device - unless that's only because Apple (I believe) DOES NOT release PD version information period.  Furthermore, Apple even provides (extremely) limited information on detail testing regarding their own chargers and devices to document established compatibility!  So what exactly does a test entail? Your guess is as good as mine.USB-PD (USB-C Power Delivery) allows the device (/load) and power supply to negotiate for multiple standard (set) power delivery levels. Current versions of the PD specification are 1.0, 2.0, 3.0, and 3.1.PD PPS (Programmable Power Supply) is a supplemental specification to USB Power Delivery describing how the device (/load) and power supply communicate for granular and incremental power delivery levels. The charging device and the power recipient exchange information on which voltage and ampere values are supported.  The efficiency of PPS comes with the benefit of lessening heat which increases battery lifespan. I do not believe Apple ever mentions PPS which was introduced with PD 3.0, and is optional. Judging from the couple of comments I found, Apple was still using PD 2.0 long after PD 3.0 was introduced, so it's possible that 2.0 is still what's mostly being used and/or no PPS!The one exception I found to Apple being mum on details and versions of the standards they use is a report that Apple confirmed to The Verge that their 140W USB-C Power Adapter uses USB-PD 3.1.  There is a surprising dearth of reports from people who possess test equipment to analyze and verify the standards that Apple's  adaptors (and devices) support. Also, I should mention that where wireless charging is merged with USB charging from a power adapter, USB charging standards and requirements remain in place. Wireless charging requires its own protocols for negotiating the amount of power transferred. For the wireless power transfer end, we have Apple's proprietary MagSafe standard in addition to the open Qi and Qi2 standards that Apple helped create. Burp.Note that ALL OF the device, the charger, and the cable must meet USB version specification requirements (or corresponding rating) to achieve highest or acceptable (and possibly safe) protocol compliance and therefore proper charging!  Yet I believe Apple's implementations are all considered proprietary. For sure there is an abundance of companies with various proprietary USB-C fast charging schemes. Something has to give. The good news is that devices have built-in limits and should reduce current when necessary to only draw as much power as they’re capable of handling.Apple is a founding and current member of the working group that develops the USB standards. As long as manufacturers make no effort to better inform their customers on the standards being used, the situation will continue to be a stinking USB rat's nest, USB-C or not.  Admittedly, the ignorant will not be concerned regarding the full extent of the mess (until we get burned) - especially those of us who have been simple and largely faithful users of the chargers that came with our devices. Except now the chargers are separately purchased items. That Apple is going all in on USB-C is good, but if they really want us to get the most out of our devices (and/or our batteries), and if they desire to be responsible members of society, they need to reveal more. Blindly maximizing the use of individual chargers and cables can mean wasting devices and batteries instead. Apple doesn't seem to have known as much about battery charging as they might have as optimal lithium battery charging advice has continued to evolve as has Apple's algorithm for slowing the last segment of charging.The model number given on this Amazon page for this adapter/charger is MHJA3AM/A which I believe it should be called a manufacturer (part) number - except that Apple is unsurprisingly good with it being called a model number here, confusion be damned. The model number of the adapter I received is A2305. The accompanying two-inch square instruction book combines nine models. The typical difference in the models relates in part to the AC input voltage range*, obviously to satisfy local government regulations. The only place USB-PD is mentioned in the booklet is with the adapter output specification. USB-PD is NOT placed as an input specification (I think Belkin does the same) even though Power Delivery can't function without same language communication!*Update/addition: After answering a question from someone planning to travel to Morocco with this charger, I took a better look at the io specs in the tiny instruction pamphlet and I'm taking a crack at explaining (more like deciphering since my understanding of electricity is limited basic).There are 9 models covered in the accompanying pamphlet and 6 of the 9 have identical io specifications fully stated as follows:Models A2244, A2245, A2247, A2305, A2347, and A2464> Input: 100-240V~50-60Hz 0.5A> (USB-PD) Output: 5VDC/3A or 9VDC/2.22AWhat I understand from this is that this adaptor will work the same for any normal AC plug. Its output is only Power Delivery because it charges at two possible standard/set levels, to be negotiated with the device being charged. It can charge at:5V x 3A = 15 Watts (Volts times Amps equals Watts) and9V x 2.22A = 19.98 WattsSo this adapter is only capable of charging at either 15 Watts or 19.98 Watts.I'm trying to understand the USB-C Power Delivery table at Wikipedia and this is what I infer. There are only two voltages which can be used for an adaptor to produce up to a maximum of 20 Watts: 5V and 9V.  5 volts can be used for a current to produce between .5 watts and 15 watts. 9 volts can be used for a current to produce between 15.03 watts and 27 watts.  I assume (although I could well be wrong) that Power Delivery (sans PPS) allows more than one option at a given voltage. So, for example, this adaptor could have been made to also allow the device being charged to ask for and get a comfortable 5 watts (and still have the options for 15 and 19.98 watts). (I downloaded the latest USB-PD specification and it's 870 pages, way too much to struggle through. Update: USB-PD added version 3.2 on about 10/30/23 and the spec is now 1,113 pages.)Finally, let me go over the differences for the three remaining adaptors of the nine covered by the instruction pamphlet. I will only detail the differences from the 6 of 9 (which is therefore the default spec).Model A2344> Input 100-127V> PD Output (for 5V, same watts as our default or) 9V @ 2A = 18 Watts> Input 200-240V> PD Output (same options as our default, 15 and 19.98 Watts)Model A2465> Input 100-110V> PD Output (for 5V, same watts as our default or) 9V @ 2A = 18 Watts> Input 110-240V> PD Output (same options as our default, 15 and 19.98 Watts)Model A2246> Input 100-127V> No Power Delivery Output!  Only provides 5V @ 2.4A = 12 Watts> Input 200-240V> PD Output (same options as our default, 15 and 19.98 Watts)Last addition: The EU (and India) made their USB-C and Power Delivery charging mandates for the next couple of years. They are not yet regulating wireless charging which is coming fast and in many instances can fully replace USB/wired. What's missing, at least for me, are manufacturers revealing the detail charging capabilities of their chargers, and especially of their devices. Hiding behind ""proprietary"" has become entirely an excuse."
NLine….. Not at all what expected failed to work as promoted first time. Sadly disappointed.,5.0,"5.0 out of 5 stars
Apple Always Good",26/02/2024,They have customer buying habits down pat. Soon the Box won’t be included when you buy a NEW iPhone.When Steve Jobs was alive it was ALL ABOUT the product now it’s all about the shareholders the heck with the customer. Their Apple Care is all about them not US !
SwamyLakamana,5.0,"5.0 out of 5 stars
Authentic Apple Adapter",17/11/2023,"I've been using the authentic Apple 20W Charger for a while now, and it's exceeded my expectations in every aspect. When it comes to charging my devices, especially my iPhone and iPad, I prioritize not just speed but also safety and reliability. This charger ticks all those boxes effortlessly.The first thing that stands out is its compact design. It's incredibly portable, making it easy to slip into a pocket or bag without adding bulk. Despite its small size, it delivers remarkable charging speed. Whether I'm topping up my device quickly before heading out or charging it overnight, this charger consistently gets the job done swiftly.What reassures me most is its authenticity. With numerous knockoffs flooding the market, having the genuine Apple product ensures not only faster charging but also peace of mind regarding safety. I've encountered issues with non-Apple chargers in the past, and they simply don't match the reliability and performance of the authentic one.Another advantage worth mentioning is its compatibility. This 20W charger is versatile and works seamlessly with various devices, from iPhones to iPads and even some Mac models. It's a one-size-fits-all solution for most of my Apple gadgets.Although it might seem a bit pricier than generic chargers, the investment in the Apple 20W Charger is definitely worth it for the quality, speed, and assurance it provides. If you're looking for a reliable and efficient charging solution tailored to your Apple devices, this charger is an absolute must-have. Highly recommended!"
Reviews by Andy,5.0,"5.0 out of 5 stars
Power in a Compact Package - Apple 20W USB-C Power Adapter",25/01/2024,"The Apple 20W USB-C Power Adapter is a true powerhouse in a compact form. Designed for efficiency and fast charging capabilities, this wall charger has seamlessly integrated itself into my daily life, providing a reliable and swift solution for powering my iPhone 15.The fast, efficient charging offered by this adapter is truly impressive. In approximately 30 minutes, it can deliver around 50 percent battery charge for my iPhone 15. This feature is particularly valuable for those times when a quick top-up is needed before heading out or during a busy day. The convenience it adds to my charging routine is unparalleled.The sleek and compact design of the power adapter makes it an ideal companion for various settings – be it at home, in the office, or while on the go. Its portability ensures that I can maintain a charged device wherever I am, without the need for bulky charging solutions.It's important to note that this is a USB-C wall charger, and the charging cable is not included. While this may be an additional purchase for some, it also allows for customization based on individual needs and preferences.The compatibility with the latest iPhone models, such as the iPhone 15, showcases Apple's commitment to staying at the forefront of charging technology. The USB-C connection ensures a universal and forward-looking approach, making this adapter a sound investment for future device compatibility.In conclusion, the Apple 20W USB-C Power Adapter is a stellar addition to Apple's charging accessories lineup. Its fast charging capabilities, portability, and sleek design make it a must-have for iPhone users, especially those with the latest models. I highly recommend this adapter for anyone seeking a reliable, efficient, and compact charging solution."
Shirley,5.0,"5.0 out of 5 stars
USB power adapter",18/02/2024,Power adapter works well and great valueSpeedy delivery
Justin Huber,5.0,"5.0 out of 5 stars
Good quality charger, decent for the money. NO CORD INCLUDED!!!!",05/01/2024,"bought this just for the charger. NO Cords included. solid and built well. have used it for over a year. finding solid cords, that's your issue. I bought some cords through amazon and the first one just died on me, on the second one holding true so far. I have one in reserve, came in a three pack. made in china, of course. need a USB-C connection to the power adapter; a lightening connector for iPhone, or perhaps a usb-c for an iPad or iPhone connection on the other end. so beware, if you have an old USB connection cord that's still holding strong you're going to need to ditch that for a USB-C cord. old USB regular cords won't work with this adapter. Good one. would buy again."
Amazon Customer,5.0,"5.0 out of 5 stars
Good charging block",20/02/2024,Works with our iPad and iPhone.
M. Jennings,5.0,"5.0 out of 5 stars
Sturdy and portable",09/02/2024,This is a fast charger that is convenient to carry with you and it is well made. The only thing I would change is include a charger cord with it.
Christopher Pitts,4.0,"4.0 out of 5 stars
Does what is should.",16/02/2024,There’s not a lot to say about something like this.  It either works or it doesn’t.  I’ve used it for a while now and it works just fine.  I use for my iPad and a couple of other devices that require this kind of connector.
Diana,5.0,"5.0 out of 5 stars
Does the job!",24/02/2024,Great and fast charger.
